Company,Type,Rating,Location,Number,Portfolio,Website,Directions Link,Directions
"CMI ELECTRIC, INC.", Electrician,4.6,"Newark, DE, United States", +1 302-731-5556,"""Great techs, esp.""",http://www.cmielectric.com,"https://www.google.com/maps/dir//CMI+ELECTRIC,+INC.,+83+Albe+Dr+A,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7075f7130a1c3:0xe28f4b546e8f2cf9?sa=X&ved=1t:57443&ictx=111",Directions
Lattanzio Electrical Contracting Inc., Electrician,4.9,#VALUE!, +1 302-685-0711,"""Steve is incredibly professional with high quality, cost-effective work.""",http://lattanzioelectric.com,,
Bauguess Electric, Electrician,5,"Newark, DE, United States",+1 302-737-5614,,https://bauguesselec.com,"https://www.google.com/maps/dir//Bauguess+Electric,+1400+Interchange+Blvd,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a968d515719f:0x4c843d303862a8ce?sa=X&ved=1t:57443&ictx=111",Directions
Alliance Electric Inc, Electrician,4.8,"Newark, DE, United States",+1 302-366-0295,,https://www.alliance-electric.net/,"https://www.google.com/maps/dir//Alliance+Electric+Inc,+1003+S+Chapel+St+%23+D,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9bdc2243747:0x96edfeb73cc76db0?sa=X&ved=1t:57443&ictx=111",Directions
Next Level Upgrades LLC, Electrician,5,,+1 302-766-5157,"""He gets in and out, he comes ready to get the job completed.""",http://nextlevelupgradess.com,,
Bill Furry Electrical Services, Electrician,5,"Newark, DE, United States",+1 302-453-8177,"""We highly recommend him!""",0,"https://www.google.com/maps/dir//Bill+Furry+Electrical+Services,+305+Mason+Dr,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7abe8a3a28765:0xc03eb825bc3a1658?sa=X&ved=1t:57443&ictx=111",Directions
Mister Sparky, Electrician,4.4,"Newark, DE, United States", +1 302-298-1130,"""Installed the same day as the estimate and were so respectful to our house.""",http://www.mistersparkyofdelaware.com,"https://www.google.com/maps/dir//Mister+Sparky,+714+Interchange+Blvd,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9692f0b4105:0xbf205735359e009b?sa=X&ved=1t:57443&ictx=111",Directions
"All Pro Electric & Construction Services, Inc.", Electrician,5,#VALUE!, +1 302-559-4749,"""We had Scott and his crew remodel our small main bathroom.""",https://allproelectricandconstructioninc.com,,
Mr. Rooter Plumbing of Newark, Plumber,4.9,#VALUE!, (610) 708-1417,,https://www.google.com,https://www.google.com/aclk?sa=L&ai=DChsSEwicpbzPpbuSAxX0pWYCHbVGHzcYACICCAEQAhoCc20&co=1&ase=2&gclid=CjwKCAiAs4HMBhBJEiwACrfNZcOiAcJhhnHMeo8gSbdgecmEoOaTtZpk-1nBAlcZqK32BwQN45whIhoC9EAQAvD_BwE&cid=CAASWeRowdCWo1aUsm2rTWahHvHPjJtXLy0BekN11HeuIylTlqmAR6XRJPaDy1qnVpjbUP-gw3zeI3VV1B_hRxab7WpVWxvzBrygtfkaIUntVCqwVGDqqqgHrd0K&cce=2&category=acrcp_v1_32&sig=AOD64_0KJcIFyNMCbmw6nbO23RoJGXMCJg&ctype=50&q=&ved=2ahUKEwi6oLfPpbuSAxVhTWwGHdkDFic4FBCFrAF6BAgsEBI&adurl=,Directions
Joe the Plumber, Plumber,4.5,"Newark, DE, United States", +1 302-798-4171,"""Joe, the son, is highly skilled, efficient, and on task.""",https://www.delawareplumbers.com,"https://www.google.com/maps/dir//Joe+the+Plumber,+2+Pinedale+Rd,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7aa74ee3262d5:0xe043b77a7dcf659?sa=X&ved=1t:57443&ictx=111",Directions
Stay True Plumbing, Plumber,4.4,"Newark, DE, United States", +1 302-464-1198,"""Randy came out and replaced and repaired my water hookup/spigot in not time.""",https://www.staytrueplumbing.com,"https://www.google.com/maps/dir//Stay+True+Plumbing,+79+Albe+Dr,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c707bf412a663b:0x1bc56421038b7fe4?sa=X&ved=1t:57443&ictx=111",Directions
"The Water Heater Company- Plumber in Newark, DE", Plumber,5,"Newark, DE, United States", +1 302-775-9132,"""They came out and identified the problem and had me up and running quickly.""",http://www.waterheaterde.com,"https://www.google.com/maps/dir//The+Water+Heater+Company-+Plumber+in+Newark,+DE,+1917+Capitol+Tr,+Newark,+DE+19711,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c703bf2193d137:0xb8e1ecf1179c1cae?sa=X&ved=1t:57443&ictx=111",Directions
Honesty Services LLC, Plumber,4.7,#VALUE!, +1 302-690-2433,"""Job was completed quickly and cleanup was thorough at a very fair price!""",http://www.honestyplumbingservices.com,,
Roto-Rooter Plumbing & Water Cleanup, Plumber,4.8,"Newark, DE, United States", +1 302-655-1070,"""He was on time, professional, and did a great job of clearing our drain!""",https://www.rotorooter.com,"https://www.google.com/maps/dir//Roto-Rooter+Plumbing+%26+Water+Cleanup,+1001+Dawson+Dr,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9e4398e3029:0x617f32eddd717397?sa=X&ved=1t:57443&ictx=111",Directions
Aqua Plumbing Solutions, Plumber,4.9,,+1 302-533-0485,"""Very professional, job well executed on time and at the agreed price.""",https://aquaplumbingsolutions.org/,,
Clog Wizards, Plumber,4.8,#VALUE!, +1 302-504-6358,"""Paul was very professional and fixed my clog in no time.""",https://bouldenbrothers.com,"https://www.google.com/maps/dir//Clog+Wizards,+107+Sandy+Dr,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a90723016a2f:0xd6a6d52e4d20353c?sa=X&ved=1t:57443&ictx=111",Directions
Angler Plumbing, Plumber,4.2,"Newark, DE, United States",+1 302-293-5691,"""The guys showed up fast, did a great job, at a good price the same day.""",https://angler.plumbing/,"https://www.google.com/maps/dir//Angler+Plumbing,+37+Dempsey+Dr,+Newark,+DE+19713,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a85aaaaaaaab:0x82a6b0611b755139?sa=X&ved=1t:57443&ictx=111",Directions
Poseidon Plumbing & Home Services, Plumber,4.8,"Ocean City, MD, United States", +1 410-251-1096,"""The job was estimated and completed at the estimated price.""",https://www.poseidonhomeservices.com,"https://www.google.com/maps/dir//Poseidon+Plumbing+%26+Home+Services,+12637+Sunset+Ave+Unit+1+Suite+1,+Ocean+City,+MD+21842,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b926de255e0251:0xdd97ac983039c59d?sa=X&ved=1t:57443&ictx=111",Directions
"Air Temp Solutions - AC Repair, Heating Repair, Water Heater Repair & Plumbing Dover DE", Furnace repair service,4.8,"Dover, DE, United States", +1 302-200-6138,,https://www.airtempandplumbing.com,"https://www.google.com/maps/dir//Air+Temp+Solutions+-+AC+Repair,+Heating+Repair,+Water+Heater+Repair+%26+Plumbing+Dover+DE,+521+Otis+Dr,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c6cbe8fc3f38c9:0xb5b83a1d63eb787d?sa=X&ved=1t:57443&ictx=111",Directions
Dover Plumbing Supply, Plumbing supply store,4.7,#VALUE!, +1 302-674-0333,"""Worked with Gary and got everything I needed at a reasonable price.""",http://www.doverplumbingsupplycodover.com,"https://www.google.com/maps/dir//Dover+Plumbing+Supply,+3626+N+Dupont+Hwy,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77ae2585bb059:0xf53253419c8f1041?sa=X&ved=1t:57443&ictx=111",Directions
Mr. Rooter Plumbing of Delmarva, Plumber,4.6,"Dover, DE, United States", +1 410-845-2613,,https://www.mrrooter.com,"https://www.google.com/maps/dir//Mr.+Rooter+Plumbing+of+Delmarva,+1151+Walker+Rd+Ste+109,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b90420a4e46fb7:0x4ad79db21a9ee373?sa=X&ved=1t:57443&ictx=111",Directions
Paco Construction & Landscaping LLC, Contractor,5,"Dover, DE, United States", +1 302-359-2432,,https://pacofixmyroofing.com,"https://www.google.com/maps/dir//Paco+Construction+%26+Landscaping+LLC,+221+Kentwood+Dr,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77adefcab5a51:0xe78f3994aa34af2c?sa=X&ved=1t:57443&ictx=111",Directions
Bird Family Plumbing, Plumber,5,#VALUE!, +1 856-982-1722,"""Dan is very professional, prompt and reasonably priced.""",http://birdfamilyplumbing.com,,
Next Level Contracting, General contractor,5,#VALUE!, +1 302-505-4814,"""He AND his workers were conscientious and provided quality workmanship!""",https://nextlevel302.com,"https://www.google.com/maps/dir//Next+Level+Contracting,+18+Huntley+Cir,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c763e4b78c59ff:0xc4d762912a4ff5e3?sa=X&ved=1t:57443&ictx=111",Directions
Sonshine Contracting, General contractor,5,,+1 304-415-2025,"""His pricing is reasonable, and the quality of work is solid.""",https://sonshinecontracting.com,,
EMAC Construction and Hardscaping, Construction company,5,,+1 302-507-3252,"""Excellent work and very trustworthy and reliable!""",https://www.emacconstructionandhardscaping.com,,
Handyman Humphries, Plumber,4.4,"Dover, DE, United States", +1 302-943-7234,"""They took one of the screens for measuring.""",0,"https://www.google.com/maps/dir//Handyman+Humphries,+131+W+Loockerman+St,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c763184db9650b:0xe9f9e2bcc7990058?sa=X&ved=1t:57443&ictx=111",Directions
Handypro Home service, General contractor,4.4,#VALUE!, +1 302-569-0818,,0,,
Northeastern Supply, Plumbing supply store,4.2,#VALUE!, +1 302-698-1414,"""These guys are great to deal with for  and HVAC ….😅""",http://www.northeastern.com,"https://www.google.com/maps/dir//Northeastern+Supply,+100+S+Dupont+Hwy,+Camden,+DE+19934,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77d28ed950e7b:0x3e0e6a37d99d5942?sa=X&ved=1t:57443&ictx=111",Directions
"Kennedy Custom Remodeling, LLC", Construction company,5,"Dover, DE, United States", +1 302-535-9397,,0,"https://www.google.com/maps/dir//Kennedy+Custom+Remodeling,+LLC,+Mcdaniel+Dr,+Dover,+DE+19901,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b88315068ecc4f:0x2ef615257bb61026?sa=X&ved=1t:57443&ictx=111",Directions
Kenny's handyman service, Handyman/Handywoman/Handyperson,5,"Dover, DE, United States", +1 443-786-5655,,http://www.facebook.com,"https://www.google.com/maps/dir//Kenny's+handyman+service,+2276+Sharon+Hill+Rd,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77df20c7026db:0x38e6d51fdc4f458d?sa=X&ved=1t:57443&ictx=111",Directions
"H&H Builders, Inc.", Home builder,4.8,"Dover, DE, United States", +1 302-735-9900,"""We are very happy with all they did, and that we had them do the work.""",https://h-hbuildersinc.com,"https://www.google.com/maps/dir//H%26H+Builders,+Inc.,+3947+Forrest+Ave,+Dover,+DE+19904,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c77c1b39a88db5:0x54d5cb0e348e3298?sa=X&ved=1t:57443&ictx=111",Directions
Ken Darling & Sons, Plumber,4,"Camden Wyoming, DE, United States", +1 302-697-2286,"""When they were done they  cleaned  and graded the site.""",0,"https://www.google.com/maps/dir//Ken+Darling+%26+Sons,+9367+Willow+Grove+Rd,+Camden+Wyoming,+DE+19934,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b8820ab25873e7:0x1400b545ad066b87?sa=X&ved=1t:57443&ictx=111",Directions
David Waters & Son, Demolition Contractor,5,,(302) 446-3499,,https://www.google.com,https://www.google.com/aclk?sa=L&ai=DChsSEwik2s37pbuSAxXaH4MDHSXgBloYACICCAEQCBoCc2Y&co=1&ase=2&gclid=CjwKCAiAs4HMBhBJEiwACrfNZZ1RUVZ93z83OOaV3C4qxLuKmobo9PRvVi3dJUgN6VhtaYCwB2MUhRoCXHoQAvD_BwE&cid=CAASWeRos3Fvz6fq0VmudzT2FLB3Ou5RI6sfGdQ48_x-nig33BkiQVUyOjcdBDUaFqhKW0YEWQFHcHV5B9yEmoFxXJrm3e4swiWSkAiTOEZdJJDG7ZIr-ntUaUoz&cce=2&category=acrcp_v1_32&sig=AOD64_0VP1rIr72oZWzHJl1SnomIetL9ow&ctype=50&q=&ved=2ahUKEwjwy8n7pbuSAxXVcGwGHQb2LyI4FBCFrAF6BAg1EBE&adurl=,Directions
"E.D.H Contracting, LLC", Contractor,5,#VALUE!,,"""E.D.H Contracting did all of this very timely and very reasonably priced!""",https://edhcontractingdelaware.com,,
Basement Unlimited, Construction company,5,"Lewes, DE, United States · +1 302-569-2211",,"""They completed the job within the timeline they originally gave us.""",http://www.basementunlimited4u.com,"https://www.google.com/maps/dir//Basement+Unlimited,+33841+Clay+Rd,+Lewes,+DE+19958,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b8b92764b74d11:0xf331dd6c323f34f6?sa=X&ved=1t:57443&ictx=111",Directions
EXCEL CONSTRUCTION GROUP, Construction company,5,"Greenwood, DE, United States · +1 302-349-9277",,"""Great craftmanship at competitive price.""",http://www.excelconstruction.group/,"https://www.google.com/maps/dir//EXCEL+CONSTRUCTION+GROUP,+23080+S+Dupont+Hwy,+Greenwood,+DE+19950,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b88f7392571749:0x275acf657918cafa?sa=X&ved=1t:57443&ictx=111",Directions
BULL’S HOME IMPROVEMENT LLC, General contractor,4.8,"Newark, DE, United States · +1 302-579-8331",,"""These guys are very professional, reliable, ,excellent service, and prices.""",http://bullshomeimprovement.com,"https://www.google.com/maps/dir//BULL%E2%80%99S+HOME+IMPROVEMENT+LLC,+3708+kildoom+drive+unit+8,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x6805c132a8bf0503:0xa3bc8adba2edd5b?sa=X&ved=1t:57443&ictx=111",Directions
Morales Builders LLC, Construction company,5,"Georgetown, DE, United States · +1 302-249-0171",,"""Great quality, reliable and honest !""",https://www.moralesbuildersllc.com,"https://www.google.com/maps/dir//Morales+Builders+LLC,+22163+Lewes+Georgetown+Hwy,+Georgetown,+DE+19947,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b8eb03dbdd6bfb:0x47f38ac7524722e2?sa=X&ved=1t:57443&ictx=111",Directions
Subcontractors Association of Delaware Valley, Association / Organization,,,+1 609-410-3385,,https://www.sadv.org/,"https://www.google.com/maps/dir//Subcontractors+Association+of+Delaware+Valley,+1950+Butler+Pike,+Conshohocken,+PA+19428,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c6be8278d828a7:0x283a0972e81385c1?sa=X&ved=1t:57443&ictx=111",Directions
S&M Construction LLC, General contractor,5,,+1 302-480-5813,"""They came on time and completed the work beautifully and professionally.""",https://www.smconstructionllcdelaware.com,,
ARC Contractors, Contractor,4.8,"Felton, DE, United States · +1 302-264-7131",,"""They do quality work and take pride in it!!!""",http://www.arccontractorsde.com,"https://www.google.com/maps/dir//ARC+Contractors,+2791+Hills+Market+Rd,+Felton,+DE+19943,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x88fe8ab355afe989:0xa7a5f02d9a15c78b?sa=X&ved=1t:57443&ictx=111",Directions
Eastern States Construction, Construction company,3.9,"Wilmington, DE, United States · +1 302-995-2259",,"""Great company!""",http://eastern-states.net/,"https://www.google.com/maps/dir//Eastern+States+Construction,+702+First+State+Blvd,+Wilmington,+DE+19804,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c70191a1b7f95b:0x345a57c1b396f194?sa=X&ved=1t:57443&ictx=111",Directions
Creative Construction, Construction company,4.3,#VALUE!,,"""Very professional and good commuciation and very quality work""",http://www.creative-construction.com,,
"M-Build, LLC", General contractor,5,#VALUE!,,"""5 stars for quality of work, setting expectations & timeliness !""",https://www.mbuildllc.com,,
OG Remodeling LLC, Contractor,5,"Newark, DE, United States · +1 302-363-8792",,"""The  that work with OG Remodeling are excellent too.""",http://ogremodel.com,"https://www.google.com/maps/dir//OG+Remodeling+LLC,+1562+Smith+Way,+Newark,+DE+19702,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7a9f7e4992851:0xc88367634c78d3d3?sa=X&ved=1t:57443&ictx=111",Directions
"OnSite Construction, Inc.", Construction company,5,"Seaford, DE, United States · +1 302-628-4244",,,http://www.onsitecon.com,"https://www.google.com/maps/dir//OnSite+Construction,+Inc.,+9654+Brickyard+Rd,+Seaford,+DE+19973,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b8f0fdd9844289:0xfa659a4ea95b4b9a?sa=X&ved=1t:57443&ictx=111",Directions
Padilla Konstruction, Roofing contractor,5,,+1 302-276-6678,"""Amazing job for a good price and prompt service!!!""",https://padillakonstruction.com,,
RJ Construction Inc., Siding contractor,5,,+1 302-419-7393,"""I am VERY pleased with my experience with Adrian and RJ Construction.""",https://www.rjconstructioninc.com,,
"RELAX GENERAL CONTRACTING, LLC", General contractor,3.5,"Dewey Beach, DE, United States · +1 302-226-9282",,"""I appreciate their honesty, quality work,""",http://relaxgc.com,"https://www.google.com/maps/dir//RELAX+GENERAL+CONTRACTING,+LLC,+107+St+Louis+St,+Dewey+Beach,+DE+19971,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b8b61a6e521daf:0x3e9708cc15735be5?sa=X&ved=1t:57443&ictx=111",Directions
Amakor Inc, General contractor,5,"Delaware City, DE, United States · +1 302-834-8664",,"""Great Staff I like working with them.""",http://amakorinc.com,"https://www.google.com/maps/dir//Amakor+Inc,+72+Clinton+St,+Delaware+City,+DE+19706,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c7058e4bede2cf:0xd94217c2c2a617d5?sa=X&ved=1t:57443&ictx=111",Directions
RENAISSANCE BUILDERS LLC, Custom home builder,4.5,5933 Willow Grove Rd · +1 302-270-7480,,"""I would highly recommend Jack to anyone wanting to build a quality home.""",http://renaissancebuildersde.com,"https://www.google.com/maps/dir//RENAISSANCE+BUILDERS+LLC,+5933+Willow+Grove+Rd,+Camden+Wyoming,+DE+19934,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b881992c92de3d:0xe574f35f1cc81de6?sa=X&ved=1t:57443&ictx=111",Directions
"Miranda, Hardt & O'Leary Contracting LLC", Construction company,,"Dagsboro, DE, United States · +1 302-539-8048",,,http://www.mhando.com,"https://www.google.com/maps/dir//Miranda,+Hardt+%26+O'Leary+Contracting+LLC,+30838+Vines+Creek+Rd+%231,+Dagsboro,+DE+19939,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b8ce37aaa95555:0x58d4c9fb33e4c5?sa=X&ved=1t:57443&ictx=111",Directions
Turnstone Custom Homes, Custom home builder,4.8,"Rehoboth Beach, DE, United States · +1 302-227-8876",,"""They took care of the site (clean) and the work was done well.""",http://tchde.com,"https://www.google.com/maps/dir//Turnstone+Custom+Homes,+37395+Oyster+House+Rd,+Rehoboth+Beach,+DE+19971,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b8b637c79d23fb:0xfabb35a212435166?sa=X&ved=1t:57443&ictx=111",Directions
Trinity Subsurface, Surveyor,4.9,"Wilmington, DE, United States · +1 302-407-3697",,"""Quick service, very professional and detailed reports of marked utilities .""",https://trinitysubsurface.com,"https://www.google.com/maps/dir//Trinity+Subsurface,+335+Water+St,+Wilmington,+DE+19804,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c6fda1537731eb:0x72da37ea7687f811?sa=X&ved=1t:57443&ictx=111",Directions
Mendoza Contractor LLC, Painter,5,,+1 302-983-5704,"""They came out and did the estimate and started work the next day.""",http://www.mendozacontractor.com,,
"Kriss Contracting, Inc.", General contractor,4.3,"Marydel, DE, United States · +1 302-492-3502",,,0,"https://www.google.com/maps/dir//Kriss+Contracting,+Inc.,+1523+Rd+184,+Marydel,+DE+19964,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c78048f129d8d7:0xc2cf7ad91d6bd178?sa=X&ved=1t:57443&ictx=111",Directions
"A.S. Jacono, LLC.", Home builder,5,"Middletown, DE, United States · +1 302-376-7399",,"""Their unquestionable honesty and knowledge made the entire process seamless;""",https://asjacono.com,"https://www.google.com/maps/dir//A.S.+Jacono,+LLC.,+865+Vance+Neck+Rd+Suite+A,+Middletown,+DE+19709,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89c70b1709765ed9:0x10c2a0586184af0a?sa=X&ved=1t:57443&ictx=111",Directions
Mark Dieste Design Build LLC, Custom home builder,4.8,"Bethany Beach, DE, United States · +1 302-539-9646",,"""We know every craftsman and  by name.""",http://markdiestedesignbuild.com,"https://www.google.com/maps/dir//Mark+Dieste+Design+Build+LLC,+32895+Coastal+Hwy+101A+-+Suite+1,+Bethany+Beach,+DE+19930,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b8cdfd2031c8a9:0x4f7c11cf7bc21531?sa=X&ved=1t:57443&ictx=111",Directions
"A. P. Croll & Son, Inc.", Excavating contractor,3.4,"Georgetown, DE, United States · +1 302-856-6177",,,http://www.apcroll.com,"https://www.google.com/maps/dir//A.+P.+Croll+%26+Son,+Inc.,+22997+Lewes+Georgetown+Hwy,+Georgetown,+DE+19947,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b8c01e75cbd283:0x67a52322a24c52da?sa=X&ved=1t:57443&ictx=111",Directions
"Platinum Roofs, Inc.", Roofing contractor,5,"Lewes, DE, United States · +1 302-226-4510",,"""They fixed three cracks that have stayed dry for over a year.""",http://platinumroofs.com,"https://www.google.com/maps/dir//Platinum+Roofs,+Inc.,+29029+Lewes+Georgetown+Hwy,+Lewes,+DE+19958,+United+States/data=!4m6!4m5!1m1!4e2!1m2!1m1!1s0x89b8b8c3f545fdc9:0x2c6ae171710ca9c6?sa=X&ved=1t:57443&ictx=111",Directions
